"month","count()","avg(input_count)"
"2009-01-01",2544,1.0562106918238994
"2009-02-01",3380,1.0642011834319527
"2009-03-01",3466,1.0715522215810733
"2009-04-01",3442,1.0569436374201047
"2009-05-01",3383,1.0413833875258647
"2009-06-01",2236,1.039803220035778
"2009-07-01",1925,1.065974025974026
"2009-08-01",1564,1.10613810741688
"2009-09-01",2159,1.1213524779990736
"2009-10-01",2126,1.1928504233301975
"2009-11-01",2217,1.0915651781686964
"2009-12-01",4048,1.1694664031620554
"2010-01-01",5004,1.108113509192646
"2010-02-01",5603,1.4965197215777262
"2010-03-01",5201,1.4360699865410498
"2010-04-01",5578,2.3282538544281106
"2010-05-01",4940,2.2228744939271254
"2010-06-01",4746,2.0838600927096502
"2010-07-01",7875,4.688634920634921
"2010-08-01",6016,3.392619680851064
"2010-09-01",5545,3.9136158701532913
"2010-10-01",5895,3.940797285835454
"2010-11-01",5909,13.00456930106617
"2010-12-01",5608,4.3990727532097
"2011-01-01",5161,9.828715365239296
"2011-02-01",5566,12.010779734099891
"2011-03-01",4902,24.64483884128927
"2011-04-01",5088,25.74508647798742
"2011-05-01",6739,37.22763021219765
"2011-06-01",6256,93.34766624040921
"2011-07-01",4914,99.7073667073667
"2011-08-01",4373,101.83992682369083
"2011-09-01",4157,90.6697137358672
"2011-10-01",3749,84.66844491864497
"2011-11-01",4137,78.643219724438
"2011-12-01",4585,75.79454743729553
"2012-01-01",4744,93.72386172006745
"2012-02-01",4355,96.86314580941446
"2012-03-01",4669,92.55022488755623
"2012-04-01",4210,113.7353919239905
"2012-05-01",4414,310.6458994109651
"2012-06-01",4535,459.1620727673649
"2012-07-01",4773,389.4638592080453
"2012-08-01",4879,444.55257224841154
"2012-09-01",4695,413.3041533546326
"2012-10-01",4608,453.20985243055554
"2012-11-01",4431,463.18596253667346
"2012-12-01",4213,582.0460479468312
"2013-01-01",4444,683.9048154815481
"2013-02-01",4658,733.0616144267926
"2013-03-01",5343,726.1860378064757
"2013-04-01",4967,785.3450775115764
"2013-05-01",4977,785.6389391199518
"2013-06-01",5208,601.4014976958525
"2013-07-01",5365,499.3368126747437
"2013-08-01",5837,654.4502312831934
"2013-09-01",5627,625.5839701439488
"2013-10-01",6199,629.1777706081626
"2013-11-01",5192,930.7386363636364
"2013-12-01",5616,859.511396011396
"2014-01-01",5472,817.6514985380117
"2014-02-01",4902,1024.1344349245205
"2014-03-01",5113,1132.645609231371
"2014-04-01",5030,1065.692445328032
"2014-05-01",5039,1118.875769001786
"2014-06-01",5120,1032.883984375
"2014-07-01",4732,1178.4725274725274
"2014-08-01",5127,1169.024770821143
"2014-09-01",4738,1295.6433094132544
"2014-10-01",4670,1443.1310492505354
"2014-11-01",4424,1615.0847649186258
"2014-12-01",4498,1711.6707425522454
"2015-01-01",4531,1774.2410064003532
"2015-02-01",4219,1853.5247689025834
"2015-03-01",4551,1945.2337947703802
"2015-04-01",4254,2043.3298072402445
"2015-05-01",4465,1976.6877939529675
"2015-06-01",4382,2276.7220447284344
"2015-07-01",4583,2794.156884137028
"2015-08-01",4595,2197.21436343852
"2015-09-01",4469,2872.895502349519
"2015-10-01",4560,2817.3747807017544
"2015-11-01",4649,2866.0380727038073
"2015-12-01",5063,3118.578313253012
"2016-01-01",4867,3253.1321142387505
"2016-02-01",4552,3594.915202108963
"2016-03-01",4578,3539.1970292704236
"2016-04-01",4459,3512.1199820587576
"2016-05-01",4620,3561.5545454545454
"2016-06-01",4465,3744.486674132139
"2016-07-01",4365,3565.869873997709
"2016-08-01",4649,3554.8132931813293
"2016-09-01",4547,3506.438091049043
"2016-10-01",4544,3996.9150528169016
"2016-11-01",4513,4062.078218479947
"2016-12-01",4692,4133.768329070759
"2017-01-01",4912,4060.134161237785
"2017-02-01",4255,4353.369917743831
"2017-03-01",4632,4388.772020725389
"2017-04-01",4438,4403.388237945021
"2017-05-01",4852,4520.578730420445
"2017-06-01",4471,4606.384925072691
"2017-07-01",4886,4116.281620957839
"2017-08-01",4406,4471.170676350432
"2017-09-01",4855,3823.266735324408
"2017-10-01",4818,4453.118513906185
"2017-11-01",4374,4886.455875628715
"2017-12-01",5029,4981.251739908531
"2018-01-01",5055,5092.958259149357
"2018-02-01",4369,5017.985580224307
"2018-03-01",4655,4072.3359828141784
"2018-04-01",4610,3367.996529284165
"2018-05-01",4717,3468.8446046215813
"2018-06-01",4600,3650.335
"2018-07-01",4646,3991.0402496771417
"2018-08-01",4803,3598.6348115760984
"2018-09-01",4419,3764.1278569812175
"2018-10-01",4379,4261.760219228135
"2018-11-01",3870,4820.937209302326
"2018-12-01",4375,4348.519771428571
"2019-01-01",4525,4156.742099447514
"2019-02-01",4125,4583.525818181818
"2019-03-01",806,4668.915632754342
